ds,yhat,yhat_lower,yhat_upper,Month
2023-01-31,18105122.836489886,17375785.404322024,18834460.268657748,2023-01
2023-02-28,17149175.03149865,16419837.599330785,17878512.46366651,2023-02
2023-03-31,18240627.23983991,17511289.80767205,18969964.672007773,2023-03
2023-04-30,17613021.65535847,16883684.22319061,18342359.087526333,2023-04
2023-05-31,18227019.907758057,17497682.475590196,18956357.33992592,2023-05
2023-06-30,19343566.61201461,18614229.17984675,20072904.044182472,2023-06
2023-07-31,20437322.863101255,19707985.430933394,21166660.295269117,2023-07
2023-08-31,18675486.90883588,17946149.47666802,19404824.341003742,2023-08
2023-09-30,17108221.319135785,16378883.886967922,17837558.751303647,2023-09
2023-10-31,22323150.05109288,21593812.61892502,23052487.483260743,2023-10
2023-11-30,22882727.441147245,22153390.008979384,23612064.873315107,2023-11
2023-12-31,22881915.382840306,22152577.950672444,23611252.815008167,2023-12
2024-01-31,18183365.753637686,17454028.321469825,18912703.185805548,2024-01
2024-02-29,17187206.542530343,16457869.11036248,17916543.974698205,2024-02
2024-03-31,18295094.536210243,17565757.10404238,19024431.968378104,2024-03
2024-04-30,17685211.947606865,16955874.515439004,18414549.379774727,2024-04
2024-05-31,18290683.673097927,17561346.240930066,19020021.10526579,2024-05
2024-06-30,19432408.16129717,18703070.729129307,20161745.59346503,2024-06
2024-07-31,20503498.707621768,19774161.275453907,21232836.13978963,2024-07
2024-08-31,18743021.643605094,18013684.211437233,19472359.075772956,2024-08
2024-09-30,17173953.442636143,16444616.01046828,17903290.874804005,2024-09
2024-10-31,22390864.49032947,21661527.05816161,23120201.922497332,2024-10
2024-11-30,22953158.569248013,22223821.13708015,23682496.001415875,2024-11
2024-12-31,22947183.22097271,22217845.788804848,23676520.65314057,2024-12
2025-01-31,18250668.1120178,17521330.679849938,18980005.54418566,2025-01
2025-02-28,17255287.983474977,16525950.551307114,17984625.41564284,2025-02
2025-03-31,18362280.377300162,17632942.9451323,19091617.809468023,2025-03
2025-04-30,17753297.606062148,17023960.173894286,18482635.03823001,2025-04
2025-05-31,18358622.984816257,17629285.552648395,19087960.41698412,2025-05
2025-06-30,19499210.215112306,18769872.782944445,20228547.647280168,2025-06
