Date,Store Location,Product Category,Units Sold,Sales Amount,Promotions/Discounts,Day Type
2023-01-01,Kolkata,Electronics,16,20256,0,Weekend
2023-01-01,Kolkata,Clothing,36,34596,0,Weekend
2023-01-01,Kolkata,Groceries,62,6634,1,Weekend
2023-01-01,Kolkata,Furniture,9,36522,0,Weekend
2023-01-01,Kolkata,Cosmetics,27,17658,1,Weekend
2023-01-01,Delhi,Electronics,19,27474,0,Weekend
2023-01-01,Delhi,Clothing,36,43092,1,Weekend
2023-01-01,Delhi,Groceries,68,8840,0,Weekend
2023-01-01,Delhi,Furniture,11,33000,1,Weekend
2023-01-01,Delhi,Cosmetics,20,12100,1,Weekend
2023-01-01,Mumbai,Electronics,21,31899,0,Weekend
2023-01-01,Mumbai,Clothing,35,37205,0,Weekend
2023-01-01,Mumbai,Groceries,43,4816,0,Weekend
2023-01-01,Mumbai,Furniture,9,41391,1,Weekend
2023-01-01,Mumbai,Cosmetics,24,5952,1,Weekend
2023-01-01,Bangalore,Electronics,19,28975,0,Weekend
2023-01-01,Bangalore,Clothing,34,17204,0,Weekend
2023-01-01,Bangalore,Groceries,85,12325,1,Weekend
2023-01-01,Bangalore,Furniture,12,38664,0,Weekend
2023-01-01,Bangalore,Cosmetics,23,18285,0,Weekend
2023-01-01,Hyderabad,Electronics,18,38772,0,Weekend
2023-01-01,Hyderabad,Clothing,27,15714,0,Weekend
2023-01-01,Hyderabad,Groceries,36,3888,0,Weekend
2023-01-01,Hyderabad,Furniture,10,27910,0,Weekend
2023-01-01,Hyderabad,Cosmetics,25,19775,1,Weekend
2023-01-02,Kolkata,Electronics,21,34734,0,Weekday
2023-01-02,Kolkata,Clothing,36,19656,0,Weekday
2023-01-02,Kolkata,Groceries,59,5133,0,Weekday
2023-01-02,Kolkata,Furniture,8,46256,0,Weekday
2023-01-02,Kolkata,Cosmetics,25,16500,0,Weekday
2023-01-02,Delhi,Electronics,16,27648,0,Weekday
2023-01-02,Delhi,Clothing,37,16650,0,Weekday
2023-01-02,Delhi,Groceries,83,8051,1,Weekday
2023-01-02,Delhi,Furniture,15,47730,1,Weekday
2023-01-02,Delhi,Cosmetics,29,7337,1,Weekday
2023-01-02,Mumbai,Electronics,21,43050,0,Weekday
2023-01-02,Mumbai,Clothing,35,30765,0,Weekday
2023-01-02,Mumbai,Groceries,59,10915,0,Weekday
2023-01-02,Mumbai,Furniture,10,31930,0,Weekday
2023-01-02,Mumbai,Cosmetics,41,7216,1,Weekday
2023-01-02,Bangalore,Electronics,32,56288,1,Weekday
2023-01-02,Bangalore,Clothing,35,28385,0,Weekday
2023-01-02,Bangalore,Groceries,66,9372,1,Weekday
2023-01-02,Bangalore,Furniture,11,17897,0,Weekday
2023-01-02,Bangalore,Cosmetics,25,19700,0,Weekday
2023-01-02,Hyderabad,Electronics,21,46389,0,Weekday
2023-01-02,Hyderabad,Clothing,31,21917,0,Weekday
2023-01-02,Hyderabad,Groceries,51,9843,1,Weekday
2023-01-02,Hyderabad,Furniture,7,33327,0,Weekday
2023-01-02,Hyderabad,Cosmetics,37,7511,1,Weekday
2023-01-03,Kolkata,Electronics,22,52690,0,Weekday
2023-01-03,Kolkata,Clothing,32,35808,0,Weekday
2023-01-03,Kolkata,Groceries,69,9729,0,Weekday
2023-01-03,Kolkata,Furniture,10,34310,1,Weekday
2023-01-03,Kolkata,Cosmetics,23,14651,0,Weekday
2023-01-03,Delhi,Electronics,20,33920,1,Weekday
2023-01-03,Delhi,Clothing,31,12183,0,Weekday
2023-01-03,Delhi,Groceries,57,4674,0,Weekday
2023-01-03,Delhi,Furniture,12,62760,0,Weekday
2023-01-03,Delhi,Cosmetics,29,14065,0,Weekday
2023-01-03,Mumbai,Electronics,20,45960,0,Weekday
2023-01-03,Mumbai,Clothing,32,31680,0,Weekday
2023-01-03,Mumbai,Groceries,55,7645,0,Weekday
2023-01-03,Mumbai,Furniture,10,30160,0,Weekday
2023-01-03,Mumbai,Cosmetics,32,10912,1,Weekday
2023-01-03,Bangalore,Electronics,21,40362,0,Weekday
2023-01-03,Bangalore,Clothing,39,20124,0,Weekday
2023-01-03,Bangalore,Groceries,49,9310,0,Weekday
2023-01-03,Bangalore,Furniture,9,45693,0,Weekday
2023-01-03,Bangalore,Cosmetics,22,13596,0,Weekday
2023-01-03,Hyderabad,Electronics,25,22700,1,Weekday
2023-01-03,Hyderabad,Clothing,38,17556,0,Weekday
2023-01-03,Hyderabad,Groceries,66,12276,1,Weekday
2023-01-03,Hyderabad,Furniture,11,57409,0,Weekday
2023-01-03,Hyderabad,Cosmetics,27,5913,1,Weekday
2023-01-04,Kolkata,Electronics,21,26124,0,Weekday
2023-01-04,Kolkata,Clothing,33,30921,0,Weekday
2023-01-04,Kolkata,Groceries,59,9558,0,Weekday
2023-01-04,Kolkata,Furniture,11,55132,1,Weekday
2023-01-04,Kolkata,Cosmetics,25,16550,0,Weekday
2023-01-04,Delhi,Electronics,22,38940,0,Weekday
2023-01-04,Delhi,Clothing,35,23520,0,Weekday
2023-01-04,Delhi,Groceries,47,7050,0,Weekday
2023-01-04,Delhi,Furniture,9,27729,0,Weekday
2023-01-04,Delhi,Cosmetics,23,12029,1,Weekday
2023-01-04,Mumbai,Electronics,29,29667,1,Weekday
2023-01-04,Mumbai,Clothing,41,16564,1,Weekday
2023-01-04,Mumbai,Groceries,62,8928,0,Weekday
2023-01-04,Mumbai,Furniture,11,39028,0,Weekday
2023-01-04,Mumbai,Cosmetics,28,5124,0,Weekday
2023-01-04,Bangalore,Electronics,20,29460,0,Weekday
2023-01-04,Bangalore,Clothing,35,18725,1,Weekday
2023-01-04,Bangalore,Groceries,73,6351,0,Weekday
2023-01-04,Bangalore,Furniture,11,64284,0,Weekday
2023-01-04,Bangalore,Cosmetics,24,6888,0,Weekday
